distance_m,real_x_m,norm_x,norm_y
0.3,-0.2,-0.600757,0.488608
0.3,0,0,0.5
0.3,0.2,0.485336,0.503797
0.4,-0.2,-0.526415,0.416667
0.4,0,0,0.416667
0.4,0.2,0.398113,0.425505
0.5,-0.4,-0.773371,0.370089
0.5,-0.2,-0.465534,0.357414
0.5,0,0,0.347275
0.5,0.2,0.32389,0.353612
0.5,0.4,0.639282,0.373891
0.6,-0.4,-0.693762,0.321926
0.6,-0.2,-0.415879,0.307985
0.6,0,0,0.30038
0.6,0.2,0.26276,0.30545
0.6,0.4,0.542533,0.325729
0.7,-0.4,-0.627951,0.285714
0.7,-0.2,-0.371105,0.270544
0.7,0,0,0.269279
0.7,0.2,0.235127,0.274336
0.7,0.4,0.490085,0.292035
0.8,-0.4,-0.571294,0.262357
0.8,-0.2,-0.338999,0.252218
0.8,0,0,0.243346
0.8,0.2,0.20491,0.250951
0.8,0.4,0.433428,0.262357
0.9,-0.4,-0.535411,0.241772
0.9,-0.2,-0.314448,0.231646
0.9,0,0,0.227848
0.9,0.2,0.170916,0.231646
0.9,0.4,0.388102,0.241772
1.1,-0.4,-0.460227,0.208861
1.1,-0.2,-0.268939,0.2
1.1,0,0,0.2
1.1,0.2,0.136364,0.2
1.1,0.4,0.316288,0.208861
1.2,-0.4,-0.434783,0.197982
1.2,-0.2,-0.253308,0.187894
1.2,0,0,0.18285
1.2,0.2,0.126654,0.187894
1.2,0.4,0.283554,0.196721
1.5,-0.4,-0.364929,0.16962
1.5,-0.2,-0.222749,0.163291
1.5,0,0,0.158228
1.5,0.2,0.086256,0.160759
1.5,0.4,0.222749,0.163291
1.8,-0.4,-0.31569,0.144487
1.8,-0.2,-0.185255,0.145754
1.8,0,0,0.143219
1.8,0.2,0.069943,0.144487
1.8,0.4,0.183365,0.149556
